Title,DOI,Year,Source,Count
"An diverse approach on virtual machines administration and power control in multi-level implicit servers","10.1007/s12652-021-03013-2",2021,"SPRINGER",1
"Dohko: an autonomic system for provision, configuration, and management of inter-cloud environments based on a software product line engineering method","10.1007/s10586-017-0897-1",2017,"SPRINGER",1
"Report on the State of the SoSyM Journal end of 2022","10.1007/s10270-023-01085-6",2023,"SPRINGER",1
"A Lightweight Service Placement Approach for Community Network Micro-Clouds","10.1007/s10723-018-9437-3",2019,"SPRINGER",1
"CAAI—a cognitive architecture to introduce artificial intelligence in cyber-physical production systems","10.1007/s00170-020-06094-z",2020,"SPRINGER",1
"Energy and Makespan Aware Scheduling of Deadline Sensitive Tasks in the Cloud Environment","10.1007/s10723-021-09548-0",2021,"SPRINGER",1
"Low-power multi-cloud deployment of large distributed service applications with response-time constraints","10.1186/s13677-022-00363-w",2023,"SPRINGER",1
"A multi-dimensional extensible cloud-native service stack for enterprises","10.1186/s13677-022-00366-7",2022,"SPRINGER",1
"Characterization and modeling of an edge computing mixed reality workload","10.1186/s13677-020-00190-x",2020,"SPRINGER",1
"Cognitive capabilities for the CAAI in cyber-physical production systems","10.1007/s00170-021-07248-3",2021,"SPRINGER",1
"Smart water consumption measurement system for houses using IoT and cloud computing","10.1007/s10661-020-08535-4",2020,"SPRINGER",1
"Enabling the Rescheduling of Containerized Workloads in an Ad Hoc Cross-Organizational Collaboration","10.1007/s10922-022-09699-9",2022,"SPRINGER",1
"MaritimeDS: a data service framework for unsupervised maritime traffic monitoring based on trajectory big data","10.1007/s40860-021-00163-0",2022,"SPRINGER",1
"Faulty RJ45 connectors detection on radio base station using deep learning","10.1007/s11042-022-12694-6",2022,"SPRINGER",1
"Decomposition Based Cloud Resource Demand Prediction Using Extreme Learning Machines","10.1007/s10922-020-09557-6",2020,"SPRINGER",1
"Tradeoffs in modeling performance of highly configurable software systems","10.1007/s10270-018-0662-9",2019,"SPRINGER",1
"Design, simulation and testing of a cloud platform for sharing digital fabrication resources for education","10.1186/s13677-019-0135-x",2019,"SPRINGER",1
"Revisiting the Anatomy and Physiology of the Grid","10.1007/s10723-015-9324-0",2015,"SPRINGER",1
"Building a blockchain-based decentralized ecosystem for cloud and edge computing: an ALLSTAR approach and empirical study","10.1007/s12083-021-01198-z",2021,"SPRINGER",1
"The big data system, components, tools, and technologies: a survey","10.1007/s10115-018-1248-0",2019,"SPRINGER",1
"A comparative study of application-level caching recommendations at the method level","10.1007/s10664-021-10089-z",2022,"SPRINGER",1
"Self-tuning serverless task farming using proactive elasticity control","10.1007/s10586-020-03158-3",2021,"SPRINGER",1
"Energy efficiency in cloud computing data centers: a survey on software technologies","10.1007/s10586-022-03713-0",2023,"SPRINGER",1
"Survey on serverless computing","10.1186/s13677-021-00253-7",2021,"SPRINGER",1
"A Roadmap for HEP Software and Computing R&D for the 2020s","10.1007/s41781-018-0018-8",2019,"SPRINGER",1
"SIFR annotator: ontology-based semantic annotation of French biomedical text and clinical notes","10.1186/s12859-018-2429-2",2018,"SPRINGER",1
"Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme","10.1007/s00521-022-07260-y",2022,"SPRINGER",1
"Rule based auto-scalability of IoT services for efficient edge device resource utilization","10.1007/s12652-020-02100-0",2020,"SPRINGER",1
"Multi-agent QoS-aware autonomic resource provisioning framework for elastic BPM in containerized multi-cloud environment","10.1007/s12652-022-04120-4",2022,"SPRINGER",1
"SLA-driven container consolidation with usage prediction for green cloud computing","10.1007/s11704-018-7172-3",2020,"SPRINGER",1
"Smart IoT and Machine Learning-based Framework for Water Quality Assessment and Device Component Monitoring","10.1007/s11356-022-19014-3",2022,"SPRINGER",1
"Model-based resource analysis and synthesis of service-oriented automotive software architectures","10.1007/s10270-021-00896-9",2021,"SPRINGER",1
"Information extraction pipelines for knowledge graphs","10.1007/s10115-022-01826-x",2023,"SPRINGER",1
"Stochastic model-driven capacity planning framework for multi-access edge computing","10.1007/s00607-022-01102-4",2022,"SPRINGER",1
"Corrective commit probability: a measure of the effort invested in bug fixing","10.1007/s11219-021-09564-z",2021,"SPRINGER",1
"DAIS: dynamic access and integration services framework for cloud-oriented storage systems","10.1007/s10586-020-03088-0",2020,"SPRINGER",1
"An intelligent model for supporting edge migration for virtual function chains in next generation internet of things","10.1038/s41598-023-27674-5",2023,"SPRINGER",1
"HTMoL: full-stack solution for remote access, visualization, and analysis of molecular dynamics trajectory data","10.1007/s10822-018-0141-y",2018,"SPRINGER",1
"Genetic algorithms and heuristics hybridized for software architecture recovery","10.1007/s10515-023-00384-y",2023,"SPRINGER",1
"Fog computing in enabling 5G-driven emerging technologies for development of sustainable smart city infrastructures","10.1007/s10586-021-03496-w",2022,"SPRINGER",1
"Cost-effective learning-based strategies for test case prioritization in continuous integration of highly-configurable software","10.1007/s10664-021-10093-3",2022,"SPRINGER",1
"Latency and Energy-Awareness in Data Stream Processing for Edge Based IoT Systems","10.1007/s10723-022-09611-4",2022,"SPRINGER",1
"Content-aware QoE optimization in MEC-assisted Mobile video streaming","10.1007/s11042-023-15163-w",2023,"SPRINGER",1
"Proposal and comparative analysis of a voting-based election algorithm for managing service replication in MANETs","10.1007/s10489-023-04506-7",2023,"SPRINGER",1
"Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments","10.1007/978-3-030-03596-9_1",2018,"SPRINGER",1
"Improved Topology Extraction Using Discriminative Parameter Mining of Logs","10.1007/978-3-030-75762-5_27",2021,"SPRINGER",1
"Failure Root Cause Analysis for Microservices, Explained","10.1007/978-3-031-16092-9_6",2022,"SPRINGER",1
"Continuous Architecting with Microservices and DevOps: A Systematic Mapping Study","10.1007/978-3-030-29193-8_7",2019,"SPRINGER",1
"JCallGraph: Tracing Microservices in Very Large Scale Container Cloud Platforms","10.1007/978-3-030-23502-4_20",2019,"SPRINGER",1
"Unstructured Log Analysis for System Anomaly Detection—A Study","10.1007/978-981-16-5685-9_48",2022,"SPRINGER",1
"Multi-source Distributed System Data for AI-Powered Analytics","10.1007/978-3-030-44769-4_13",2020,"SPRINGER",1
"Harmonia: A Continuous Service Monitoring Framework Using DevOps and Service Mesh in a Complementary Manner","10.1007/978-3-030-33702-5_12",2019,"SPRINGER",1
"A Rating Tool for the Automated Selection of Software Refactorings that Remove Antipatterns to Improve Performance and Stability","10.1007/978-3-030-29157-0_2",2019,"SPRINGER",1
"Fault Localization in Service Compositions","10.1007/978-3-319-68034-7_13",2017,"SPRINGER",1
"Anomaly Detection and Diagnosis for Container-Based Microservices with Performance Monitoring","10.1007/978-3-030-05063-4_42",2018,"SPRINGER",1
"Metric Based Cloud Infrastructure Monitoring","10.1007/978-3-319-69835-9_37",2018,"SPRINGER",1
"Domain-Independent Monitoring and Visualization of SLA Metrics in Multi-provider Environments","10.1007/978-3-319-69462-7_39",2017,"SPRINGER",1
"A QoS-Aware Resource Allocation Controller for Function as a Service (FaaS) Platform","10.1007/978-3-319-69035-3_17",2017,"SPRINGER",1
"Containers’ Privacy and Data Protection via Runtime Scanning Methods","10.1007/978-3-030-93479-8_3",2022,"SPRINGER",1
"Distributed Log Search Based on Time Series Access and Service Relations","10.1007/978-3-030-99587-4_10",2022,"SPRINGER",1
"Tight and Loose Coupling in Evolving Platform Ecosystems: The Cases of Airbnb and Uber","10.1007/978-3-319-93931-5_21",2018,"SPRINGER",1
"Anomaly Detection at Scale: The Case for Deep Distributional Time Series Models","10.1007/978-3-030-76352-7_14",2021,"SPRINGER",1
"Topology-Aware Continuous Experimentation in Microservice-Based Applications","10.1007/978-3-030-65310-1_2",2020,"SPRINGER",1
"Towards interactive tourism: capitalising on virtual and physical value chains","10.1007/978-3-7091-6373-3_2",1999,"SPRINGER",1
"AI Quality Engineering for Machine Learning Based IoT Data Processing","10.1007/978-3-031-21637-4_4",2022,"SPRINGER",1
"IT Design for Resiliency Using Extreme Value Analysis","10.1007/978-3-030-83903-1_4",2021,"SPRINGER",1
"A Dynamic Partitioning Framework for Edge-Assisted Cloud Computing","10.1007/978-3-030-60239-0_15",2020,"SPRINGER",1
"Multi-source Anomaly Detection in Distributed IT Systems","10.1007/978-3-030-76352-7_22",2021,"SPRINGER",1
"Using Language Models to Pre-train Features for Optimizing Information Technology Operations Management Tasks","10.1007/978-3-030-76352-7_18",2021,"SPRINGER",1
"Right Scaling for Right Pricing: A Case Study on Total Cost of Ownership Measurement for Cloud Migration","10.1007/978-3-030-29193-8_10",2019,"SPRINGER",1
"Translating a Legacy Stack to Microservices Using a Modernization Facade with Performance Optimization for Container Deployments","10.1007/978-3-030-40907-4_14",2020,"SPRINGER",1
"Hardening Containers with Static and Dynamic Analysis","10.1007/978-981-19-6414-5_12",2023,"SPRINGER",1
"A Self Healing Microservices Architecture: A Case Study in Docker Swarm Cluster","10.1007/978-3-030-15032-7_71",2020,"SPRINGER",1
"Reflections from a Hybrid Approach Used to Develop a Specification of a Shopfloor Platform for Smart Manufacturing in an Engineered-to-Order SME","10.1007/978-3-030-85910-7_73",2021,"SPRINGER",1
"Software Reliability Engineering for Resilient Cloud Operations","10.1007/978-3-030-76352-7_27",2021,"SPRINGER",1
"MICROLYZE: A Framework for Recovering the Software Architecture in Microservice-Based Environments","10.1007/978-3-319-92901-9_14",2018,"SPRINGER",1
"Cycle Detection and Clustering for Cyber Physical Systems","10.1007/978-3-031-28694-0_10",2023,"SPRINGER",1
"Billing System and 5G Network Slicing Service","10.1007/978-981-16-8558-3_24",2022,"SPRINGER",1
"Scaling Knowledge Graphs for Automating AI of Digital Twins","10.1007/978-3-031-19433-7_46",2022,"SPRINGER",1
"Designing Architecture for Container-As-A-Service (CaaS) in Cloud Computing Environment: A Review","10.1007/978-981-19-2828-4_50",2022,"SPRINGER",1
"Making Runtime Data Useful for Incident Diagnosis: An Experience Report","10.1007/978-3-030-03673-7_33",2018,"SPRINGER",1
"Towards an APIs Adoption Agile Model in Large Banks","10.1007/978-3-030-45688-7_31",2020,"SPRINGER",1
"Automated Microservice Code-Smell Detection","10.1007/978-981-33-6385-4_20",2021,"SPRINGER",1
"Containers in Software Development: A Systematic Mapping Study","10.1007/978-3-030-35333-9_13",2019,"SPRINGER",1
"Rule-Based Security Monitoring of Containerized Environments","10.1007/978-3-030-49432-2_4",2020,"SPRINGER",1
"Measuring Change in Software Projects Through an Earned Value Lens","10.1007/978-3-030-00623-5_14",2018,"SPRINGER",1
"On Technical Debt in Software Testing - Observations from Industry","10.1007/978-3-031-19756-7_17",2022,"SPRINGER",1
"Balancing Utility and Security: Securing Cloud Federations of Public Entities","10.1007/978-3-319-48472-3_60",2016,"SPRINGER",1
"A Qualitative Literature Review on Microservices Identification Approaches","10.1007/978-3-030-64846-6_9",2020,"SPRINGER",1
"A Review of Monitoring Probes for Cloud Computing Continuum","10.1007/978-3-031-28694-0_59",2023,"SPRINGER",1
"Microservices in IoT Middleware Architectures: Architecture, Trends, and Challenges","10.1007/978-981-19-3575-6_39",2023,"SPRINGER",1
"Enabling Process Variants and Versions in Distributed Object-Aware Process Management Systems","10.1007/978-3-319-92901-9_1",2018,"SPRINGER",1
"Wise Toolkit: Enabling Microservice-Based System Performance Experiments","10.1007/978-3-030-59635-4_11",2020,"SPRINGER",1
"DroidAutoML: A Microservice Architecture to Automate the Evaluation of Android Machine Learning Detection Systems","10.1007/978-3-030-50323-9_10",2020,"SPRINGER",1
"On Observability and Monitoring of Distributed Systems – An Industry Interview Study","10.1007/978-3-030-33702-5_3",2019,"SPRINGER",1
"Model-Driven ML-Ops for Intelligent Enterprise Applications: Vision, Approaches and Challenges","10.1007/978-3-030-52306-0_11",2020,"SPRINGER",1
"Ensemble Bagging Approach for IoT Sensor Based Anomaly Detection","10.1007/978-981-15-8439-8_52",2021,"SPRINGER",1
"Semi-supervised Learning Enabled Fault Analysis Method for Power Distribution Network Based on LSTM Autoencoder and Attention Mechanism","10.1007/978-981-99-3300-6_18",2023,"SPRINGER",1
"Advanced Open IoT Platform for Prevention and Early Detection of Forest Fires","10.1007/978-3-319-77700-9_32",2018,"SPRINGER",1
"Containerized Distributed Rendering for Interactive Environments","10.1007/978-3-319-72323-5_5",2017,"SPRINGER",1
"Fault Detection Method for Power Distribution Network Based on Ensemble Learning","10.1007/978-981-99-3300-6_19",2023,"SPRINGER",1
"Proposal for the Development of a Myoelectrically Controlled Prosthetic Arm Integrated with a Web Interface Management System","10.1007/978-3-030-71187-0_75",2021,"SPRINGER",1
"A Comparison of MQTT Brokers for Distributed IoT Edge Computing","10.1007/978-3-030-58923-3_23",2020,"SPRINGER",1
"TMSA: Participatory Sensing Based on Mobile Phones in Urban Spaces","10.1007/978-3-030-62362-3_23",2020,"SPRINGER",1
"On Automatic Software Architecture Reconstruction of Microservice Applications","10.1007/978-981-33-6385-4_21",2021,"SPRINGER",1
"Towards Automated Microservices Extraction Using Muti-objective Evolutionary Search","10.1007/978-3-030-33702-5_5",2019,"SPRINGER",1
"A Group Genetic Algorithm for Resource Allocation in Container-Based Clouds","10.1007/978-3-030-43680-3_12",2020,"SPRINGER",1
"Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies","10.1007/978-3-031-16697-6_7",2022,"SPRINGER",1
"Automatic Microservices Identification from a Set of Business Processes","10.1007/978-3-030-45183-7_23",2020,"SPRINGER",1
"Towards Constraint Logic Programming over Strings for Test Data Generation","10.1007/978-3-030-46714-2_10",2020,"SPRINGER",1
"Smart Contracts for Global Sourcing Arrangements","10.1007/978-3-030-66834-1_5",2020,"SPRINGER",1
"Dynamic Updates of Virtual PLCs Deployed as Kubernetes Microservices","10.1007/978-3-030-86044-8_1",2021,"SPRINGER",1
"Client-Side Scheduling Based on Application Characterization on Kubernetes","10.1007/978-3-319-68066-8_13",2017,"SPRINGER",1
"Exploring the Architectural Entropy in Cloud Computing System","10.1007/978-981-10-5520-1_55",2018,"SPRINGER",1
"BBServerless: A Bursty Traffic Benchmark for Serverless","10.1007/978-3-030-96326-2_4",2022,"SPRINGER",1
"On Automated Role-Based Access Control Assessment in Enterprise Systems","10.1007/978-981-15-1465-4_38",2020,"SPRINGER",1
"Integrating Issue Management Systems of Independently Developed Software Components","10.1007/978-3-031-33976-9_1",2023,"SPRINGER",1
"Queue-Waiting-Time Based Load Balancing Algorithm for Fine-Grain Microservices","10.1007/978-3-319-94376-3_12",2018,"SPRINGER",1
"The Role of Blockchain to Reduce the Dissemination of Fake News on Social Media and Messaging Platforms","10.1007/978-3-031-20160-8_15",2023,"SPRINGER",1
"A Fuzzy-Based Auto-scaler for Web Applications in Cloud Computing Environments","10.1007/978-3-030-03596-9_57",2018,"SPRINGER",1
"SPEAKER: Split-Phase Execution of Application Containers","10.1007/978-3-319-60876-1_11",2017,"SPRINGER",1
"The Impact of Situational Context on the Software Development Process – A Case Study of a Highly Innovative Start-up Organization","10.1007/978-3-319-67383-7_33",2017,"SPRINGER",1
"Securing Microservice-Driven Applications Based on API Access Graphs Using Supervised Machine Learning Techniques","10.1007/978-981-19-6634-7_41",2023,"SPRINGER",1
"CloudSDN: Enabling SDN Framework for Security and Threat Analytics in Cloud Networks","10.1007/978-3-030-20615-4_12",2019,"SPRINGER",1
"Multi-criteria Differential Evolution for Optimization of Virtual Machine Resources in Smart City Cloud","10.1007/978-3-030-47679-3_28",2020,"SPRINGER",1
"Matching Code Patterns Across Programming Language","10.1007/978-3-031-23387-6_13",2022,"SPRINGER",1
"Assessing Black-box Test Case Generation Techniques for Microservices","10.1007/978-3-031-14179-9_4",2022,"SPRINGER",1
"Scheduling Microservice Containers on Large Core Machines Through Placement and Coalescing","10.1007/978-3-030-88224-2_5",2021,"SPRINGER",1
"SCORE: A Resource-Efficient Microservice Orchestration Model Based on Spectral Clustering in Edge Computing","10.1007/978-3-031-20984-0_13",2022,"SPRINGER",1
"Measuring Quality in Metadata Repositories","10.1007/978-3-319-24592-8_5",2015,"SPRINGER",1
"SSH-Backed API Performance Case Study","10.1007/978-3-030-49556-5_27",2020,"SPRINGER",1
"Cyber-Physical Equipment as a Service","10.1007/978-3-031-16281-7_31",2023,"SPRINGER",1
"GPGPU Virtualisation with Multi-API Support Using Containers","10.1007/978-3-319-27308-2_64",2015,"SPRINGER",1
"Causal Model Extraction from Attack Trees to Attribute Malicious Insider Attacks","10.1007/978-3-030-62230-5_1",2020,"SPRINGER",1
"Microservice-Based System for Environmental Science Software Applications","10.1007/978-3-030-97652-1_39",2022,"SPRINGER",1
"Automatic Performance Simulation for Microservice Based Applications","10.1007/978-981-13-2853-4_7",2018,"SPRINGER",1
"Smart Omnichannel Architecture for Air Travel Applications Using Big Data Techniques","10.1007/978-981-10-8681-6_60",2019,"SPRINGER",1
"Cardinality Based Rate Limiting System for Time-Series Data","10.1007/978-3-030-59635-4_18",2020,"SPRINGER",1
"Computing Embeddings of Directed Bigraphs","10.1007/978-3-030-51372-6_3",2020,"SPRINGER",1
"A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing","10.1007/978-3-030-00761-4_11",2018,"SPRINGER",1
"CAVAS: Neutralizing Application and Container Security Vulnerabilities in the Cloud Native Era","10.1007/978-3-030-01701-9_26",2018,"SPRINGER",1
"Kuksa: A Cloud-Native Architecture for Enabling Continuous Delivery in the Automotive Domain","10.1007/978-3-030-35333-9_32",2019,"SPRINGER",1
"A Cost-Efficient Multi-cloud Orchestrator for Benchmarking Containerized Web-Applications","10.1007/978-3-030-34223-4_26",2019,"SPRINGER",1
"Automated Generation of Configurable Cloud-Native Chaos Testbeds","10.1007/978-3-030-86507-8_10",2021,"SPRINGER",1
"From DevOps to DevDataOps: Data Management in DevOps Processes","10.1007/978-3-030-39306-9_4",2020,"SPRINGER",1
"Cloud-Native Databases: An Application Perspective","10.1007/978-3-319-79090-9_7",2018,"SPRINGER",1
"Wholly!: A Build System For The Modern Software Stack","10.1007/978-3-030-00244-2_16",2018,"SPRINGER",1
"Learning Performance Models Automatically","10.1007/978-3-030-76352-7_6",2021,"SPRINGER",1
"Complex Expert Assessment as a Part of Fault Management Strategy for Data Storage Systems","10.1007/978-3-030-34983-7_58",2020,"SPRINGER",1
"A High-Level Ontology Network for ICT Infrastructures","10.1007/978-3-030-88361-4_26",2021,"SPRINGER",1
"CloudVaults: Integrating Trust Extensions into System Integrity Verification for Cloud-Based Environments","10.1007/978-3-030-66504-3_12",2020,"SPRINGER",1
"Log Attention – Assessing Software Releases with Attention-Based Log Anomaly Detection","10.1007/978-3-031-14135-5_11",2022,"SPRINGER",1
"Artificial Social Intelligence: Hotel Rate Prediction","10.1007/978-3-030-39442-4_7",2020,"SPRINGER",1
"A Performance Survey of Lightweight Virtualization Techniques","10.1007/978-3-319-67262-5_3",2017,"SPRINGER",1
"An Interoperable Cloud Platform for the Garment Industry","10.1007/978-3-031-16075-2_32",2023,"SPRINGER",1
"Finding Performance Patterns from Logs with High Confidence","10.1007/978-3-030-59618-7_11",2020,"SPRINGER",1
"Impact Prediction of Online Education During COVID-19 Using Machine Learning: A Case Study","10.1007/978-981-19-7663-6_54",2023,"SPRINGER",1
"Modelling the Dynamic Reconfiguration of Application Topologies, Faults Included","10.1007/978-3-319-59746-1_10",2017,"SPRINGER",1
"Performance Analysis of Docker Containerization and Virtualization","10.1007/978-981-16-8862-1_56",2022,"SPRINGER",1
"Interactive Elicitation of Resilience Scenarios Based on Hazard Analysis Techniques","10.1007/978-3-031-15116-3_11",2022,"SPRINGER",1
"Benchmarking Heterogeneous Cloud Functions","10.1007/978-3-319-75178-8_34",2018,"SPRINGER",1
"Automated Integration of Continental-Scale Observations in Near-Real Time for Simulation and Analysis of Biosphere–Atmosphere Interactions","10.1007/978-3-030-63393-6_14",2020,"SPRINGER",1
"Deep Learning in the Wild","10.1007/978-3-319-99978-4_2",2018,"SPRINGER",1
"Machine Learning for Cloud Resources Management—An Overview","10.1007/978-981-19-3035-5_67",2023,"SPRINGER",1
"Performance Comparison of Two Java-Based Actor Systems","10.1007/978-981-16-1781-2_9",2022,"SPRINGER",1
"Sandboxing the Cyberspace for Cybersecurity Education and Learning","10.1007/978-3-030-66504-3_11",2020,"SPRINGER",1
"Scalable Discovery and Continuous Inventory of Personal Data at Rest in Cloud Native Systems","10.1007/978-3-031-20984-0_36",2022,"SPRINGER",1
"The Benefits of Using Experimental Exploration for Cloud Migration Analysis and Planning","10.1007/978-3-319-94959-8_9",2018,"SPRINGER",1
"A Novel Design Approach Exploiting Data Parallelism in Serverless Infrastructure","10.1007/978-981-33-6977-1_20",2021,"SPRINGER",1
"Formal Software Architectural Migration Towards Emerging Architectural Styles","10.1007/978-3-030-58923-3_2",2020,"SPRINGER",1
"DevOps Meets Dynamic Orchestration","10.1007/978-3-030-06019-0_11",2019,"SPRINGER",1
"The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS","10.1007/978-3-030-89159-6_25",2021,"SPRINGER",1
"Modular Quality-of-Service Analysis of Software Design Models for Cyber-Physical Systems","10.1007/978-3-031-34560-9_6",2023,"SPRINGER",1
"Measuring Application Security","10.1007/978-3-319-94782-2_5",2019,"SPRINGER",1
"Will Cloud Gain an Edge, or, CLOSER, to the Edge","10.1007/978-3-030-29193-8_2",2019,"SPRINGER",1
"Hybrid Grouping Genetic Algorithm for Large-Scale Two-Level Resource Allocation of Containers in the Cloud","10.1007/978-3-030-97546-3_42",2022,"SPRINGER",1
"An Event-Based Architecture for Cross-Breed Multi-population Bio-inspired Optimization Algorithms","10.1007/978-3-030-43722-0_44",2020,"SPRINGER",1
"Scalable Online Monitoring of Distributed Systems","10.1007/978-3-030-60508-7_11",2020,"SPRINGER",1
"Towards Longitudinal Data Analytics in Parkinson’s Disease","10.1007/978-3-319-49655-9_9",2017,"SPRINGER",1
"Digital Disruption in Major Ports with Special Reference to Chennai Port, Kamarajar Port, and Tuticorin Port","10.1007/978-981-19-9379-4_8",2023,"SPRINGER",1
"Usability of Visual Data Profiling in Data Cleaning and Transformation","10.1007/978-3-319-69459-7_32",2017,"SPRINGER",1
"Investigating Performance and Cost in Function-as-a-Service Platforms","10.1007/978-3-030-33509-0_16",2020,"SPRINGER",1
"Software-Defined Multi-cloud Computing: A Vision, Architectural Elements, and Future Directions","10.1007/978-3-319-95162-1_1",2018,"SPRINGER",1
"Design of IoT Blockchain Based Smart Agriculture for Enlightening Safety and Security","10.1007/978-981-13-8300-7_2",2019,"SPRINGER",1
"Study on the Organization and Governance of Bigdata for Lifelong Education","10.1007/978-3-030-97774-0_45",2022,"SPRINGER",1
"A Comprehensive Enterprise System Metamodel for Quality Assurance","10.1007/978-981-33-6385-4_23",2021,"SPRINGER",1
"Upilio: Leveraging the Serverless Paradigm for Building a Versatile IoT Application","10.1007/978-3-031-04718-3_8",2022,"SPRINGER",1
"DLPFS: The Data Leakage Prevention FileSystem","10.1007/978-3-031-16815-4_21",2022,"SPRINGER",1
"Leveraging AI in Service Automation Modeling: From Classical AI Through Deep Learning to Combination Models","10.1007/978-3-030-33702-5_14",2019,"SPRINGER",1
"Regulation and Validation Challenges in Artificial Intelligence-Empowered Healthcare Applications—The Case of Blood-Retrieved Biomarkers","10.1007/978-3-031-17583-1_8",2023,"SPRINGER",1
"A Methodology for Tenant Migration in Legacy Shared-Table Multi-tenant Applications","10.1007/978-3-030-78198-9_1",2021,"SPRINGER",1
"A Containerized Edge Cloud Architecture for Data Stream Processing","10.1007/978-3-030-49432-2_8",2020,"SPRINGER",1
"A Distributed Ledger Approach to Digital Twin Secure Data Sharing","10.1007/978-3-030-22479-0_15",2019,"SPRINGER",1
"Short Paper: Stress-SGX: Load and Stress Your Enclaves for Fun and Profit","10.1007/978-3-030-05529-5_24",2019,"SPRINGER",1
"Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture","10.1007/978-3-319-67262-5_15",2017,"SPRINGER",1
"Aligning IIoT and ISA-95 to Improve Asset Management in Process Industries","10.1007/978-3-030-64228-0_14",2021,"SPRINGER",1
"Exit-Less Hypercall: Asynchronous System Calls in Virtualized Processes","10.1007/978-3-030-38991-8_12",2020,"SPRINGER",1
"Decentralized Architecture for Energy-Aware Service Assembly","10.1007/978-3-030-58923-3_4",2020,"SPRINGER",1
"Better Call the Plumber: Orchestrating Dynamic Information Extraction Pipelines","10.1007/978-3-030-74296-6_19",2021,"SPRINGER",1
"Comparing SLAs for Cloud Services: A Model for Reasoning","10.1007/978-3-030-00063-9_18",2018,"SPRINGER",1
"Container-Based Virtualization for Real-Time Data Streaming Processing on the Edge Computing Architecture","10.1007/978-3-030-06158-6_21",2019,"SPRINGER",1
"Improving Architectural Reusability for Resource Allocation Framework in Futuristic Cloud Computing Using Decision Tree Based Multi-objective Automated Approach","10.1007/978-3-031-23092-9_32",2022,"SPRINGER",1
"HYPpOTesT: Hypothesis Testing Toolkit for Uncertain Service-Based Web Applications","10.1007/978-3-030-34968-4_27",2019,"SPRINGER",1
"Analysis and Improvement of Heterogeneous Hardware Support in Docker Images","10.1007/978-3-030-78198-9_9",2021,"SPRINGER",1
